CommentID,AnswerID,CommenterID,CommentDate,CommentTextLen,Reputation,CommentAge,IsAccepted,CommentTextProc,CommentScore,Sentiment,Label,Group,IsUseful,IsUsefulSum,AnswerDate,ByAsker,ByAnswerer,ByOtherAnswerer,ByCommenter,ByOutsider,AnswererID,QuestionID,AskerID,ByInsider
17394709,50806,1441398,2012-10-12 06:43:22,17,211,1494.3625,TRUE,fmod,75,0,16,6,1,1,2008-09-08 22:01:22,0,0,0,0,1,157,50801,4925,0
45680782,51244,1759974,2015-02-24 11:51:33,122,3343,2359.29173611111,FALSE,group concat regexp enough reason use sql sql server even two licenc switch,2,0,18,6,1,1,2008-09-09 04:51:27,0,0,0,0,1,5232,10616,285,0
75788,62525,6681,2008-10-14 06:05:39,47,279,28.7180902777778,FALSE,<CALL> fix anoth call,0,0.4588,5,3,1,1,2008-09-15 12:51:36,0,1,0,0,0,6681,61401,5056,1
3314923,110255,19476,2010-07-09 16:56:24,45,1525,656.512384259259,TRUE,confus what wrong code ?,2,-0.6887,14,5,1,1,2008-09-21 04:38:34,0,1,0,0,0,19476,110157,18638,1
3314923,110255,19476,2010-07-09 16:56:24,177,1525,656.512384259259,TRUE,<CALL> anoth way but boost doc show specifi variabl type prior boost foreach type contain comma also show typedef,2,0.5499,18,6,1,1,2008-09-21 04:38:34,0,1,0,0,0,19476,110157,18638,1
22316,112259,13824,2008-09-21 22:48:53,84,57,0.0451851851851852,FALSE,fastest way not clean but quickest code,0,-0.1603,4,2,1,1,2008-09-21 21:43:49,0,0,0,0,1,12677,112234,16773,0
31789,130063,419,2008-09-24 21:43:27,165,2622,0.0144907407407407,FALSE,not what burst data max avail bandwith delay anoth burst data max speed not realli bandwidth throttl,1,-0.5423,18,6,1,1,2008-09-24 21:22:35,0,0,1,0,0,12631,130034,0,1
72212,194591,11898,2008-10-11 20:49:06,90,865,0.00965277777777778,FALSE,pick specif exampl think point rais appli general,2,0,2,2,1,1,2008-10-11 20:35:12,0,1,0,0,0,11898,194537,13578,1
72212,194591,11898,2008-10-11 20:49:06,179,865,0.00965277777777778,FALSE,specif exampl better word pleas share occur tri open file not program crash silent noth ?,2,0.5719,15,5,1,1,2008-10-11 20:35:12,0,1,0,0,0,11898,194537,13578,1
4017197,209797,322020,2010-09-24 21:42:10,36,818,708.116041666667,TRUE,think val val <CODE> better,3,0.4404,16,6,1,1,2008-10-16 18:55:04,0,0,0,0,1,341,209495,19839,0
90037,214330,14160,2008-10-21 12:28:37,37,216,3.46962962962963,FALSE,yes total contriv,0,0.7165,20,7,0,0,2008-10-18 01:12:21,0,1,0,0,0,14160,213312,20714,1
5446275,214330,38765,2011-02-04 03:05:18,209,3639,839.0784375,FALSE,answer differ question joerg mittag said rubi doe not requir tail end optim not implement implement but doe not forbid unlik python,0,0.5012,16,6,1,1,2008-10-18 01:12:21,0,0,0,0,1,14160,213312,20714,0
123324,268287,22656,2008-11-06 11:05:57,108,10500,0.00408564814814815,FALSE,what implement chang not control base class break ? whose fault ?,20,-0.644,14,5,1,1,2008-11-06 11:00:04,0,1,0,0,0,22656,268251,6846,1
123324,268287,22656,2008-11-06 11:05:57,109,10500,0.00408564814814815,FALSE,inherit introduc fragil basic favour composit inherit promot robust imo,20,0.5719,18,6,1,1,2008-11-06 11:00:04,0,1,0,0,0,22656,268251,6846,1
9690905,307926,77244,2011-10-28 16:48:22,16,1629,1071.48599537037,TRUE,great tip,0,0.6588,1,1,0,0,2008-11-21 05:08:32,0,0,0,0,1,6309,307882,3594,0
